,Property Name,Address,Price,Available Date,Bed,Bath
0,815 Jellicoe Road,815 Jellicoe Road,"S$ 4,500 ",Ready to move,3  bed,2  bath
1,DUO Residences,1 Fraser Street,"S$ 6,500 ",Available from 29 Apr,1  bed,1  bath
2,Rezi 24,39 Lorong 24 Geylang,"S$ 4,400 ",Ready to move,2  bed,2  bath
3,The Antares,19 Mattar Road,"S$ 4,000 ",Ready to move,1  bed,1  bath
4,Kallang Riverside,51 Kampong Bugis,"S$ 7,000 ",Ready to move,3  bed,2  bath
5,264 Waterloo Street,264 Waterloo Street,"S$ 3,400 ",Available from 3 Apr,1  bed,1  bath
6,Short Monthly Rental. Apartment Near Geylang/ Kallang/ Aljunied MRT Train Stations,,"S$ 2,000 ",Ready to move,1  bed,1  bath
7,Flexible Monthly Rental. Studio Near Rochor/Bugis/Bras Basha MRT Stations,,"S$ 2,188 ",Ready to move,1  bed,1  bath
8,Flexible Monthly Rental. Serviced Apartment Near Little India/ Farrer Park MRT Station (5 Mins Away),,"S$ 2,333 ",Ready to move,1  bed,1  bath
9,1 to 3 Months Rental. Studio Near Farrer Park/Jalan Besar MRT Train Station,,"S$ 2,889 ",Ready to move,1  bed,1  bath
10,Flexible Monthly Rental. Serviced Apartment Near Rochor Station (2 Mins Away),,"S$ 3,564 ",Ready to move,1  bed,1  bath
11,1 to 3 Months Rental. Serviced Apartment Near Kallang/Mountbatten MRT Train Station,,"S$ 3,600 ",Ready to move,1  bed,1  bath
12,Monthly Flexible Rental. 4-Star Apartment Near Bras Basah/Bencoolen MRT Station,,"S$ 3,699 ",Ready to move,1  bed,1  bath
13,Flexible Monthly Rental. Apartment Near Clarke Quay/Bencoolen MRT Station,,"S$ 3,850 ",Ready to move,1  bed,1  bath
14,Monthly Flexible Rental. Serviced Apartment Near Lavender/Bendemeer MRT Train Station,,"S$ 3,920 ",Ready to move,1  bed,1  bath
15,Flexible Monthly Rental. 4-Star Serviced Apartment Near City Hall/ Promenade MRT Stations,,"S$ 3,999 ",Ready to move,1  bed,1  bath
16,Monthly Flexible Rental. Serviced Apartment Near Bras Basah/Bugis/Bencoolen MRT Train Station,,"S$ 4,000 ",Ready to move,1  bed,1  bath
17,Flexible Monthly Rental. Apartment Near City Hall/Promenade/ Bencoolen MRT Stations,,"S$ 4,222 ",Ready to move,1  bed,1  bath
18,Monthly Flexible  Rental. 4-star Apartment Near Clarke Quay/Bencoolen MRT Station,,"S$ 4,500 ",Ready to move,1  bed,1  bath
19,Monthly Flexible Rental. Apartment Near Bencoolen/Rochor/Bugis Station,,"S$ 5,300 ",Ready to move,1  bed,1  bath
